City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Argostolion,GR,2022-01-23 23:00:24,38.1811,20.489,43.81,49,28,14.97
107,San Patricio,US,2022-01-23 23:00:25,28.017,-97.5169,57.92,43,100,4.36
108,Markova,UA,2022-01-23 23:00:25,48.6758,24.4138,11.71,98,100,2.66
109,Kavaratti,IN,2022-01-23 23:00:25,10.5669,72.642,79.48,63,7,11.39
110,Deputatskiy,RU,2022-01-23 23:00:26,69.3,139.9,-21.51,98,100,5.23
111,Vanavara,RU,2022-01-23 23:00:26,60.34,102.2797,-10.03,100,100,2.77
112,Bandarbeyla,SO,2022-01-23 23:00:26,9.4942,50.8122,74.37,70,12,18.59
113,Qingyuan,CN,2022-01-23 23:00:27,23.7,113.0333,64.38,82,96,5.95
114,Mahibadhoo,MV,2022-01-23 23:00:27,3.7833,72.9667,81.09,66,68,12.66
115,Kot Addu,PK,2022-01-23 23:00:27,30.4692,70.9671,46.26,71,0,4.99
116,Saint-Philippe,RE,2022-01-23 23:00:28,-21.3585,55.7679,78.39,83,46,8.39
117,Mitu,CO,2022-01-23 23:00:28,1.1983,-70.1733,74.35,96,84,2.06
118,Gratkorn,AT,2022-01-23 23:00:28,47.1497,15.3655,31.78,86,75,2.3
119,Nikolskoye,RU,2022-01-23 23:00:29,59.7035,30.7861,27.88,94,95,8.7
120,Laguna,US,2022-01-23 23:00:29,38.421,-121.4238,67.66,55,0,1.99
121,Bilibino,RU,2022-01-23 23:00:29,68.0546,166.4372,-28.71,97,100,4.23
122,Cidreira,BR,2022-01-23 23:00:30,-30.1811,-50.2056,77.7,88,49,5.5
123,Kuldiga,LV,2022-01-23 22:56:15,56.974,21.9572,37.09,92,76,9.1
124,Tuktoyaktuk,CA,2022-01-23 23:00:30,69.4541,-133.0374,0.12,98,97,6.35
125,Bahia Honda,CU,2022-01-23 23:00:30,22.9036,-83.1592,68.76,80,89,12.01
126,Sao Joao Da Barra,BR,2022-01-23 23:00:31,-21.6403,-41.0511,76.01,81,26,11.7
127,Lima,PE,2022-01-23 23:00:15,-12.0432,-77.0282,77.4,84,81,1.01
128,Waipawa,NZ,2022-01-23 23:00:31,-41.4122,175.5153,65.3,87,100,8.28
129,Nantucket,US,2022-01-23 23:00:31,41.2835,-70.0995,33.03,65,95,18.97
130,Castro,BR,2022-01-23 22:57:38,-24.7911,-50.0119,74.21,59,4,2.44
131,Bethel,US,2022-01-23 23:00:32,41.3712,-73.414,33.93,68,92,1.99
132,Maragogi,BR,2022-01-23 23:00:32,-9.0122,-35.2225,80.13,70,52,10.13
133,Airai,TL,2022-01-23 23:00:32,-8.9266,125.4092,65.07,82,100,2.64
134,Upernavik,GL,2022-01-23 23:00:32,72.7868,-56.1549,-12.78,61,3,5.46
135,Olafsvik,IS,2022-01-23 23:00:33,64.8945,-23.7142,27.32,59,100,19.53
136,Temnikov,RU,2022-01-23 23:00:33,54.6302,43.2148,3.29,100,99,4.47
137,Saskylakh,RU,2022-01-23 23:01:33,71.9167,114.0833,-18.49,100,96,4.97
138,Wasilla,US,2022-01-23 23:01:34,61.5814,-149.4394,41.94,56,100,3.0
139,Sept-Iles,CA,2022-01-23 23:00:02,50.2001,-66.3821,9.05,89,100,11.27
140,Hangu,CN,2022-01-23 23:01:34,39.2489,117.7892,19.44,76,100,2.91
141,Kidal,ML,2022-01-23 23:01:34,18.4411,1.4078,63.99,16,3,10.36
142,Torbay,CA,2022-01-23 23:01:35,47.6666,-52.7314,27.57,92,94,4.0
143,Bardiyah,LY,2022-01-23 23:01:35,31.7561,25.0865,49.87,54,64,10.49
