City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Grand-Santi,GF,71.11,few clouds,4.25,-54.3833,Hotel La Villa Couacou
215,Saint-Leu,RE,76.06,few clouds,-21.15,55.2833,La Caz Oceane
216,Souillac,MU,76.35,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
218,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
219,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
223,Praia,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
225,Banjar,ID,82.26,light rain,-8.19,114.9675,The Hamsa Resort
226,Oussouye,SN,73.45,overcast clouds,12.485,-16.5469,Auberge du Routard
228,Mar Del Plata,AR,74.88,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
230,Codrington,AU,71.76,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
231,Reconquista,AR,73.76,clear sky,-29.15,-59.65,Grand Hotel
232,Arauca,CO,86.0,clear sky,7.0847,-70.7591,Hotel Verano Plaza
233,Coahuayana,MX,83.68,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
235,Sao Joao Da Barra,BR,75.88,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
236,Alofi,NU,81.84,overcast clouds,-19.0595,-169.9187,Taloa Heights
242,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
243,Kavaratti,IN,80.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
248,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
249,Manokwari,ID,82.08,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
250,Sola,VU,81.97,overcast clouds,-13.8833,167.55,Leumerus Bungalows
253,Ulladulla,AU,82.87,broken clouds,-35.35,150.4667,Sandpiper Motel
256,Alyangula,AU,83.28,light rain,-13.8483,136.4192,Groote Eylandt Lodge
258,Ballitoville,ZA,71.24,scattered clouds,-29.539,31.2144,Hampshire Hotel-Ballito
259,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
265,Roebourne,AU,89.8,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
275,Puerto Leguizamo,CO,77.14,broken clouds,-0.1934,-74.7819,la casona de juancho
278,Flinders,AU,86.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
279,Hualmay,PE,70.27,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
281,Trat,TH,84.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
286,Launceston,AU,76.6,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
290,Parana,AR,70.47,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
292,Piacabucu,BR,77.99,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
297,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
298,Kununurra,AU,85.98,light rain,-15.7667,128.7333,Hotel Kununurra
299,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
305,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
306,Pringsewu,ID,77.58,heavy intensity rain,-5.3582,104.9744,Urban Style by Front One
309,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
