City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Oussouye,SN,12.485,-16.5469,73.45,56,100,11.43,overcast clouds
227,Baruun-Urt,MN,46.6806,113.2792,-6.54,84,82,4.47,broken clouds
228,Mar Del Plata,AR,-38.0023,-57.5575,74.88,71,78,20.0,broken clouds
229,Bandipur,NP,27.9333,84.4167,38.8,82,1,2.28,clear sky
230,Codrington,AU,-38.2667,141.9667,71.76,74,100,8.05,overcast clouds
231,Reconquista,AR,-29.15,-59.65,73.76,41,0,6.64,clear sky
232,Arauca,CO,7.0847,-70.7591,86.0,51,5,2.3,clear sky
233,Coahuayana,MX,18.7333,-103.6833,83.68,75,0,2.84,clear sky
234,Usak,TR,38.5,29.4167,25.11,81,100,4.83,overcast clouds
235,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.88,92,100,6.42,overcast clouds
236,Alofi,NU,-19.0595,-169.9187,81.84,71,100,7.9,overcast clouds
237,Sfantu Gheorghe,RO,45.8667,25.7833,20.93,95,100,1.99,overcast clouds
238,Maneadero,MX,31.7167,-116.5667,61.2,76,90,5.01,overcast clouds
239,Ponta Do Sol,PT,32.6667,-17.1,63.23,40,15,6.02,few clouds
240,Nanortalik,GL,60.1432,-45.2371,20.68,69,100,27.87,light snow
241,Great Bend,US,38.3645,-98.7648,42.85,63,0,1.01,clear sky
242,Geraldton,AU,-28.7667,114.6,82.81,54,0,12.66,clear sky
243,Kavaratti,IN,10.5669,72.642,80.82,71,92,8.39,overcast clouds
244,Richards Bay,ZA,-28.783,32.0377,69.22,87,5,0.87,clear sky
245,Ngaoundere,CM,7.3167,13.5833,59.5,23,100,5.68,overcast clouds
246,Bonavista,CA,48.6499,-53.1147,37.11,95,100,43.11,moderate rain
247,Vilcun,CL,-38.65,-72.2333,56.14,67,10,2.19,clear sky
248,Galesong,ID,-5.3166,119.3661,78.82,77,100,5.57,overcast clouds
249,Manokwari,ID,-0.8667,134.0833,82.08,70,100,8.03,overcast clouds
250,Sola,VU,-13.8833,167.55,81.97,79,100,17.0,overcast clouds
251,Nieuwpoort,BE,51.1244,2.7735,46.02,81,0,11.5,clear sky
252,Davenda,RU,53.5556,119.317,-6.95,86,6,4.14,clear sky
253,Ulladulla,AU,-35.35,150.4667,82.87,64,57,8.05,broken clouds
254,Torbay,CA,47.6666,-52.7314,39.58,96,100,31.07,heavy intensity rain
255,Uncia,BO,-18.467,-66.5685,43.48,91,100,3.62,overcast clouds
256,Alyangula,AU,-13.8483,136.4192,83.28,76,100,17.16,light rain
257,Gualaco,HN,15.05,-86.05,64.54,94,71,3.56,broken clouds
258,Ballitoville,ZA,-29.539,31.2144,71.24,85,35,5.73,scattered clouds
259,Cayenne,GF,4.9333,-52.3333,79.09,85,20,0.0,few clouds
260,Urumqi,CN,43.801,87.6005,-6.65,84,75,2.24,mist
261,San Ramon,US,37.7799,-121.978,62.74,50,0,3.44,clear sky
262,Ulaanbaatar,MN,47.9077,106.8832,-12.57,99,88,4.41,overcast clouds
263,Faya,SA,18.3851,42.4509,52.32,83,4,5.32,clear sky
264,Vostok,RU,46.4856,135.8833,-7.11,91,58,3.18,broken clouds
265,Roebourne,AU,-20.7833,117.1333,89.8,45,56,12.66,broken clouds
266,College,US,64.8569,-147.8028,-6.14,73,20,0.0,few clouds
267,Athens,GR,37.9795,23.7162,49.39,77,75,10.0,broken clouds
268,Marrakesh,MA,31.6315,-8.0083,55.47,47,40,6.91,scattered clouds
269,Chara,RU,56.9064,118.2631,-18.29,88,49,0.81,scattered clouds
270,Araouane,ML,18.9048,-3.5265,70.66,11,68,14.76,broken clouds
271,Pacific Grove,US,36.6177,-121.9166,63.0,61,0,3.0,clear sky
272,Sorland,NO,67.667,12.6934,35.82,60,100,24.23,overcast clouds
273,Eston,CA,51.1501,-108.7514,20.91,88,100,4.45,overcast clouds
274,Veraval,IN,20.9,70.3667,65.75,35,0,8.14,clear sky
275,Puerto Leguizamo,CO,-0.1934,-74.7819,77.14,63,56,1.03,broken clouds
276,Hrubieszow,PL,50.805,23.8925,34.03,97,100,24.61,light snow
277,Eau Claire,US,44.8114,-91.4985,21.58,63,0,3.44,clear sky
278,Flinders,AU,-34.5833,150.8552,86.81,71,97,8.46,overcast clouds
279,Hualmay,PE,-11.0964,-77.6139,70.27,83,35,9.46,scattered clouds
280,Mbala,ZM,-8.8402,31.3659,60.21,93,100,1.5,light rain
281,Trat,TH,12.5,102.5,84.25,89,85,1.88,overcast clouds
282,Egvekinot,RU,66.3167,-179.1667,-4.86,70,10,1.28,clear sky
283,Fukue,JP,32.6881,128.8419,47.59,49,100,15.46,overcast clouds
284,Naliya,IN,23.2667,68.8333,61.9,83,0,5.06,clear sky
285,Andrychow,PL,49.855,19.3383,41.72,95,100,24.61,overcast clouds
286,Launceston,AU,-41.45,147.1667,76.6,55,0,5.01,clear sky
287,Panaba,MX,21.2833,-88.2667,63.54,67,26,10.18,scattered clouds
288,Zyryanka,RU,65.75,150.85,-22.88,100,99,0.65,overcast clouds
289,Nome,US,64.5011,-165.4064,3.16,54,0,0.0,clear sky
290,Parana,AR,-31.732,-60.5238,70.47,78,0,8.59,clear sky
291,Ouadda,CF,8.0777,22.4007,60.8,23,8,5.37,clear sky
292,Piacabucu,BR,-10.4056,-36.4344,77.99,65,100,6.73,overcast clouds
293,Eureka,US,40.8021,-124.1637,56.19,79,2,1.01,clear sky
294,Tikapur,NP,28.5,81.1333,46.62,89,0,1.66,clear sky
295,Cascais,PT,38.6979,-9.4215,58.05,34,100,5.01,overcast clouds
296,Longonjo,AO,-12.9067,15.2533,62.46,98,100,3.76,overcast clouds
297,Grand Gaube,MU,-20.0064,57.6608,76.37,78,100,1.99,overcast clouds
298,Kununurra,AU,-15.7667,128.7333,85.98,74,75,12.66,light rain
299,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,75,10.29,broken clouds
300,Nurota,UZ,40.5614,65.6886,26.69,73,1,5.59,clear sky
301,Yar-Sale,RU,66.8333,70.8333,-9.9,98,84,8.41,broken clouds
302,Tiksi,RU,71.6872,128.8694,-9.56,98,51,4.34,broken clouds
303,Port Hawkesbury,CA,45.6169,-61.3485,49.12,99,100,5.01,overcast clouds
304,Burley,US,42.5357,-113.7928,20.3,68,0,0.0,clear sky
305,Maceio,BR,-9.6658,-35.7353,78.24,83,40,2.3,scattered clouds
306,Pringsewu,ID,-5.3582,104.9744,77.58,88,100,0.49,heavy intensity rain
307,Luderitz,NA,-26.6481,15.1594,68.07,76,32,5.1,scattered clouds
308,Birobidzhan,RU,48.8,132.95,-10.71,86,4,0.58,clear sky
309,Hambantota,LK,6.1241,81.1185,73.74,100,20,2.3,few clouds
310,Bolshaya Izhora,RU,59.938,29.5772,27.09,91,100,23.22,snow
311,Taraz,KZ,42.9,71.3667,28.81,93,100,4.47,overcast clouds
312,Trofors,NO,65.5333,13.4063,33.15,96,100,1.9,light snow
313,Karratha,AU,-20.7377,116.8463,85.82,51,96,14.61,overcast clouds
314,Moerai,PF,-22.4333,-151.3333,79.84,75,6,8.19,clear sky
315,Sumbe,AO,-11.2061,13.8437,77.05,89,100,4.81,overcast clouds
316,Yanam,IN,16.7333,82.2167,70.2,97,78,3.2,broken clouds
317,Jumla,NP,29.2747,82.1838,30.9,40,0,5.57,clear sky
318,Evensk,RU,61.95,159.2333,20.17,79,100,8.93,overcast clouds
319,Muros,ES,42.7762,-9.0603,51.84,80,11,4.74,few clouds
320,Mafinga,TZ,-7.25,35.0667,64.04,95,100,0.87,overcast clouds
321,Kyren,RU,51.6828,102.1408,-7.28,91,32,1.01,scattered clouds
322,Natal,BR,-5.795,-35.2094,75.85,94,75,4.61,broken clouds
323,Cairns,AU,-16.9167,145.7667,90.95,88,100,10.36,overcast clouds
324,Xuchang,CN,34.0167,113.8167,32.23,82,6,6.38,clear sky
325,Damghan,IR,36.1683,54.348,32.18,52,0,3.36,clear sky
326,Aktash,RU,50.3,87.7333,-16.69,79,41,4.34,scattered clouds
327,Baculin,PH,7.4525,126.5842,82.58,67,82,2.71,broken clouds
328,Yumen,CN,40.2833,97.2,11.37,66,0,7.63,clear sky
329,Bure,ET,10.7,37.0667,57.06,64,96,3.02,overcast clouds
330,Juli,PE,-16.2167,-69.45,46.89,81,100,4.23,light rain
331,Urucara,BR,-2.5364,-57.76,73.62,99,100,3.24,overcast clouds
332,Imeni Poliny Osipenko,RU,52.4201,136.4853,-9.38,96,100,6.53,light snow
333,Ust-Nera,RU,64.5667,143.2,-16.11,100,70,1.23,broken clouds
334,Takoradi,GH,4.8845,-1.7554,78.69,89,38,3.44,scattered clouds
335,Bose,IT,45.4612,8.0137,42.21,53,17,3.04,few clouds
336,Baraki Barak,AF,33.9675,68.9486,12.72,80,0,3.29,clear sky
337,Pangnirtung,CA,66.1451,-65.7125,-19.44,99,100,3.0,overcast clouds
338,Humaita,BR,-7.5061,-63.0208,71.67,99,100,1.9,overcast clouds
339,Oudtshoorn,ZA,-33.5907,22.2014,63.52,83,0,1.7,clear sky
340,Portland,US,45.5234,-122.6762,50.29,61,75,3.0,broken clouds
341,Aragarcas,BR,-15.8975,-52.2508,71.91,96,100,4.34,moderate rain
342,Nantucket,US,41.2835,-70.0995,21.31,86,100,24.16,mist
343,Fairbanks,US,64.8378,-147.7164,-13.0,74,0,0.0,clear sky
344,Berbera,SO,10.4396,45.0143,71.17,72,10,5.37,clear sky
345,Lompoc,US,34.6391,-120.4579,65.12,59,0,5.75,clear sky
346,Dongkan,CN,33.9997,119.8308,36.07,49,100,5.82,overcast clouds
347,Pisco,PE,-13.7,-76.2167,69.85,78,0,14.97,clear sky
